year,ring,couple_id,population,observer,sex,color_score,morph,age,color_score_median,color_score_median_trans,color_score_median_trans_ord,laying_date,brood_size,winter_snow_depth_mean,winter_snow_days_n,winter_temp_air_mean,winter_temp_air_CV,breed_snow_depth_mean,breed_snow_days_n,breed_temp_air_mean,breed_temp_air_CV
1978,6,576,a,a,female,,gray,1,4,5,1,,4,14.72,130,-3.35,0.38,0,0,,
1978,7,573,a,a,male,,gray,1,7,2,4,,2,14.72,130,-3.35,0.38,0,0,,
1979,3,572,a,a,female,4,gray,3,4,5,1,12,3,21.6,128,-4.77,0.33,0,0,8.71,0.51
1979,6,576,a,a,female,4,gray,2,4,5,1,40,0,21.6,128,-4.77,0.33,0,0,14.54,0.24
1979,9,581,a,a,female,4,gray,7,4,5,1,42,3,21.6,128,-4.77,0.33,0,0,14.76,0.22
1979,13,585,a,a,female,4,gray,7,5,4,2,20,3,21.6,128,-4.77,0.33,0,0,10.76,0.5
1979,14,587,a,a,female,4,gray,5,4,5,1,18,3,21.6,128,-4.77,0.33,0,0,10.29,0.5
1979,33,607,a,a,female,12,brown,1,11,2,2,13,3,21.6,128,-4.77,0.33,0,0,9.01,0.51
1979,34,570,a,a,male,9,brown,1,10,1,1,12,4,21.6,128,-4.77,0.33,0,0,8.71,0.51
1979,35,572,a,a,male,,gray,1,7,2,4,12,3,21.6,128,-4.77,0.33,0,0,8.71,0.51
1979,37,608,a,a,female,5,gray,1,5,4,2,18,5,21.6,128,-4.77,0.33,0,0,10.29,0.5
1979,48,611,a,a,female,12,brown,1,11,2,2,8,4,21.6,128,-4.77,0.33,0,0,7.52,0.54
1979,49,611,a,a,male,5,gray,1,5,4,2,8,4,21.6,128,-4.77,0.33,0,0,7.52,0.54
1979,50,587,a,a,male,5,gray,1,5,4,2,18,3,21.6,128,-4.77,0.33,0,0,10.29,0.5
1979,51,585,a,a,male,5,gray,1,5,4,2,20,3,21.6,128,-4.77,0.33,0,0,10.76,0.5
1980,2,571,a,a,female,13,brown,4,13,4,4,12,3,16.1,138,-3.49,0.35,2,3,8.4,0.65
1980,4,574,a,a,female,7,gray,8,7,2,4,0,3,16.1,138,-3.49,0.35,12.3,10,5.49,0.71
1980,7,629,a,a,male,5,gray,3,7,2,4,16,3,16.1,138,-3.49,0.35,2,3,9.48,0.65
1980,9,579,a,a,female,5,gray,8,4,5,1,11,3,16.1,138,-3.49,0.35,2,3,8.1,0.66
1980,10,582,a,a,female,5,gray,,7,2,4,,,16.1,138,-3.49,0.35,0,0,,
1980,13,586,a,a,female,,gray,8,5,4,2,4,4,16.1,138,-3.49,0.35,6.5,6,6.15,0.65
1980,18,590,a,a,female,11,brown,1,11,2,2,,3,16.1,138,-3.49,0.35,0,0,,
1980,19,591,a,a,female,6,gray,1,6,3,3,,0,16.1,138,-3.49,0.35,0,0,,
1980,20,592,a,a,female,6,gray,1,6,3,3,,,16.1,138,-3.49,0.35,0,0,,
1980,34,570,a,a,male,,brown,2,10,1,1,9,2,16.1,138,-3.49,0.35,2,3,7.49,0.68
1980,35,571,a,a,male,6,gray,2,7,2,4,12,3,16.1,138,-3.49,0.35,2,3,8.4,0.65
1980,38,609,a,a,female,5,gray,1,5,4,2,10,2,16.1,138,-3.49,0.35,2,3,7.77,0.67
1980,48,611,a,a,female,10,brown,2,11,2,2,3,0,16.1,138,-3.49,0.35,8.14,7,5.93,0.65
1980,49,611,a,a,male,4,gray,2,5,4,2,3,0,16.1,138,-3.49,0.35,8.14,7,5.93,0.65
1980,53,614,a,a,female,6,gray,2,6,3,3,1,4,16.1,138,-3.49,0.35,10.89,9,5.6,0.68
1980,62,657,a,a,male,,brown,1,12,3,3,10,3,16.1,138,-3.49,0.35,2,3,7.77,0.67
1980,68,626,a,a,female,5,gray,1,5,4,2,9,2,16.1,138,-3.49,0.35,2,3,7.49,0.68
1980,69,628,a,a,female,12,brown,1,11,2,2,9,4,16.1,138,-3.49,0.35,2,3,7.49,0.68
1980,70,628,a,a,male,4,gray,1,4,5,1,9,4,16.1,138,-3.49,0.35,2,3,7.49,0.68
1980,71,574,a,a,male,14,brown,1,14,5,5,0,3,16.1,138,-3.49,0.35,12.3,10,5.49,0.71
1980,72,586,a,a,male,6,gray,1,6,3,3,4,4,16.1,138,-3.49,0.35,6.5,6,6.15,0.65
1980,73,579,a,a,male,5,gray,1,6,3,3,11,3,16.1,138,-3.49,0.35,2,3,8.1,0.66
1980,74,629,a,a,female,6,gray,1,6,3,3,16,3,16.1,138,-3.49,0.35,2,3,9.48,0.65
1980,109,657,a,a,female,,gray,1,6,3,3,10,3,16.1,138,-3.49,0.35,2,3,7.77,0.67
1980,110,662,a,a,female,5,gray,1,6,3,3,14,0,16.1,138,-3.49,0.35,2,3,8.97,0.66
1980,111,665,a,a,female,7,gray,1,7,2,4,20,3,16.1,138,-3.49,0.35,2,2,10.27,0.59
1981,5,575,a,a,female,6,gray,4,6,3,3,6,3,18.06,144,-3.26,0.33,3,8,6.96,0.55
1981,10,582,a,a,female,10,gray,,7,2,4,,,18.06,144,-3.26,0.33,0,0,,
1981,31,604,a,a,female,7,gray,3,6,3,3,,2,18.06,144,-3.26,0.33,0,0,,
1981,56,622,a,a,male,7,gray,3,7,2,4,10,2,18.06,144,-3.26,0.33,1.2,5,7.55,0.53
1981,63,622,a,a,female,5,gray,1,5,4,2,10,2,18.06,144,-3.26,0.33,1.2,5,7.55,0.53
1981,71,666,a,a,male,14,brown,2,14,5,5,10,2,18.06,144,-3.26,0.33,1.2,5,7.55,0.53
1981,76,630,a,a,female,11,brown,1,11,2,2,,2,18.06,144,-3.26,0.33,0,0,,
1981,77,630,a,a,male,5,gray,1,5,4,2,,2,18.06,144,-3.26,0.33,0,0,,
1981,78,575,a,a,male,7,gray,1,8,1,5,6,3,18.06,144,-3.26,0.33,3,8,6.96,0.55
1981,112,666,a,a,female,6,gray,1,6,3,3,10,2,18.06,144,-3.26,0.33,1.2,5,7.55,0.53
1982,5,575,a,a,female,6,gray,5,6,3,3,-7,4,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,7,584,a,a,male,7,gray,5,7,2,4,,0,24.34,146,-3.28,0.33,0,0,,
1982,7,663,a,a,male,7,gray,5,7,2,4,0,4,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1982,8,577,a,a,female,11,brown,10,10,1,1,10,3,24.34,146,-3.28,0.33,13.3,10,7.78,0.68
1982,9,578,a,a,female,5,gray,10,4,5,1,-1,5,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,11,667,a,a,male,10,brown,9,10,1,1,-12,3,24.34,146,-3.28,0.33,19.44,25,3.78,0.58
1982,13,584,a,a,female,7,gray,10,5,4,2,,0,24.34,146,-3.28,0.33,0,0,,
1982,23,595,a,a,female,8,gray,6,8,1,5,5,4,24.34,146,-3.28,0.33,13.3,10,6.24,0.67
1982,24,596,a,a,female,14,brown,4,13,4,4,-2,4,24.34,146,-3.28,0.33,12.67,15,4.88,0.67
1982,26,640,a,a,male,5,gray,2,5,4,2,5,4,24.34,146,-3.28,0.33,13.3,10,6.24,0.67
1982,31,603,a,a,female,6,gray,4,6,3,3,0,4,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1982,34,578,a,a,male,11,brown,4,10,1,1,-1,5,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,35,627,a,a,male,7,gray,4,7,2,4,-7,5,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,36,596,a,a,male,8,gray,4,7,2,4,-2,4,24.34,146,-3.28,0.33,12.67,15,4.88,0.67
1982,39,631,a,a,male,8,gray,1,8,1,5,-7,4,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,40,610,a,a,female,11,brown,1,11,2,2,-1,3,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,41,610,a,a,male,6,gray,1,6,3,3,-1,3,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,42,621,a,a,male,8,gray,1,6,3,3,1,5,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,43,669,a,a,male,7,gray,1,7,2,4,0,3,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1982,46,623,a,a,male,10,brown,4,10,1,1,1,5,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,49,636,a,a,male,8,gray,4,5,4,2,1,3,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,50,612,a,a,male,6,gray,4,5,4,2,-1,6,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,52,612,a,a,female,10,brown,4,10,1,1,-1,6,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,58,633,a,a,male,11,brown,2,11,2,2,-4,4,24.34,146,-3.28,0.33,12.82,17,4.63,0.67
1982,62,657,a,a,male,12,brown,3,12,3,3,2,4,24.34,146,-3.28,0.33,13,11,5.65,0.66
1982,63,621,a,a,female,5,gray,2,5,4,2,1,5,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,64,623,a,a,female,11,brown,1,11,2,2,1,5,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,69,627,a,a,female,,brown,3,11,2,2,-7,5,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,71,666,a,a,male,14,brown,3,14,5,5,-4,4,24.34,146,-3.28,0.33,12.82,17,4.63,0.67
1982,73,577,a,a,male,7,gray,3,6,3,3,10,3,24.34,146,-3.28,0.33,13.3,10,7.78,0.68
1982,75,632,a,a,male,8,gray,3,8,1,5,-3,4,24.34,146,-3.28,0.33,12.56,16,4.7,0.67
1982,78,575,a,a,male,9,gray,2,8,1,5,-7,4,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,79,631,a,a,female,7,gray,1,7,2,4,-7,4,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,80,632,a,a,female,7,gray,1,7,2,4,-3,4,24.34,146,-3.28,0.33,12.56,16,4.7,0.67
1982,81,633,a,a,female,13,brown,1,13,4,4,-4,4,24.34,146,-3.28,0.33,12.82,17,4.63,0.67
1982,82,636,a,a,female,6,gray,1,6,3,3,1,3,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,83,637,a,a,female,7,gray,1,7,2,4,7,4,24.34,146,-3.28,0.33,13.3,10,6.85,0.67
1982,84,595,a,a,male,4,gray,1,4,5,1,5,4,24.34,146,-3.28,0.33,13.3,10,6.24,0.67
1982,85,637,a,a,male,6,gray,1,6,3,3,7,4,24.34,146,-3.28,0.33,13.3,10,6.85,0.67
1982,86,603,a,a,male,13,brown,1,13,4,4,0,4,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1982,87,638,a,a,male,5,gray,1,6,3,3,8,1,24.34,146,-3.28,0.33,13.3,10,7.17,0.68
1982,109,657,a,a,female,6,gray,3,6,3,3,2,4,24.34,146,-3.28,0.33,13,11,5.65,0.66
1982,110,658,a,a,female,4,gray,3,6,3,3,1,3,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,111,663,a,a,female,8,gray,3,7,2,4,0,4,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1982,112,666,a,a,female,7,gray,2,6,3,3,-4,4,24.34,146,-3.28,0.33,12.82,17,4.63,0.67
1982,113,667,a,a,female,7,gray,1,8,1,5,-12,3,24.34,146,-3.28,0.33,19.44,25,3.78,0.58
1982,114,669,a,a,female,11,brown,1,11,2,2,0,3,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1983,1,606,a,a,male,12,brown,13,11,2,2,-12,5,7.86,110,-0.52,0.38,9.6,15,4.93,0.64
1983,5,575,a,a,female,6,gray,6,6,3,3,-8,3,7.86,110,-0.52,0.38,11.18,11,5.92,0.62
1983,8,577,a,a,female,10,brown,11,10,1,1,-6,5,7.86,110,-0.52,0.38,10.22,9,6.41,0.59
1983,9,580,a,a,female,4,gray,11,4,5,1,-24,2,7.86,110,-0.52,0.38,10,27,2.22,0.35
1983,11,667,a,a,male,11,brown,10,10,1,1,-21,6,7.86,110,-0.52,0.38,9.88,24,2.99,0.31
1983,24,596,a,a,female,14,brown,5,13,4,4,-14,5,7.86,110,-0.52,0.38,9.06,17,4.61,0.67
1983,32,605,a,a,female,5,gray,2,5,4,2,-4,2,7.86,110,-0.52,0.38,9.43,7,6.84,0.57
1983,33,606,a,a,female,11,brown,5,11,2,2,-12,5,7.86,110,-0.52,0.38,9.6,15,4.93,0.64
1983,35,627,a,a,male,7,gray,5,7,2,4,-5,4,7.86,110,-0.52,0.38,9.75,8,6.61,0.58
1983,36,596,a,a,male,6,gray,5,7,2,4,-14,5,7.86,110,-0.52,0.38,9.06,17,4.61,0.67
1983,42,621,a,a,male,6,gray,2,6,3,3,-12,6,7.86,110,-0.52,0.38,9.6,15,4.93,0.64
1983,43,659,a,a,male,,gray,2,7,2,4,-12,4,7.86,110,-0.52,0.38,9.6,15,4.93,0.64
1983,45,615,a,a,male,4,gray,3,4,5,1,-15,5,7.86,110,-0.52,0.38,9,18,4.45,0.67
1983,46,671,a,a,male,10,brown,5,10,1,1,-14,4,7.86,110,-0.52,0.38,9.06,17,4.61,0.67
1983,47,650,a,a,male,11,brown,2,11,2,2,-13,4,7.86,110,-0.52,0.38,9.31,16,4.77,0.65
1983,52,613,a,a,female,11,brown,5,10,1,1,-8,3,7.86,110,-0.52,0.38,11.18,11,5.92,0.62
1983,55,616,a,a,female,6,gray,4,6,3,3,-18,5,7.86,110,-0.52,0.38,9.43,21,3.92,0.59
1983,59,619,a,a,male,5,gray,2,5,4,2,-6,1,7.86,110,-0.52,0.38,10.22,9,6.41,0.59
1983,60,619,a,a,female,9,gray,1,7,2,4,-6,1,7.86,110,-0.52,0.38,10.22,9,6.41,0.59
1983,61,620,a,a,female,,brown,1,12,3,3,1,1,7.86,110,-0.52,0.38,7.5,2,8.2,0.54
1983,63,621,a,a,female,7,gray,3,5,4,2,-12,6,7.86,110,-0.52,0.38,9.6,15,4.93,0.64
