year,ring,couple_id,nest_id,population,observer,sex,morph,age,color_score,color_score_trans,color_score_trans_ord,color_score_median,color_score_median_trans,color_score_median_trans_ord,laying_date,brood_size,winter_snow_depth_mean,winter_snow_days_n,winter_temp_air_mean,winter_temp_air_CV,breed_snow_depth_mean,breed_snow_days_n,breed_temp_air_mean,breed_temp_air_CV
1978,6,572,303,a,a,female,gray,1,,,,4,5,1,,4,14.72,130,-3.35,0.38,0,0,,
1978,7,569,200,a,a,male,gray,1,,,,7,2,4,,2,14.72,130,-3.35,0.38,0,0,,
1979,3,568,147,a,a,female,gray,3,4,5,1,4,5,1,12,3,21.6,128,-4.77,0.33,0,0,8.71,0.51
1979,6,572,303,a,a,female,gray,2,4,5,1,4,5,1,40,0,21.6,128,-4.77,0.33,0,0,14.54,0.24
1979,9,577,102,a,a,female,gray,7,4,5,1,4,5,1,42,3,21.6,128,-4.77,0.33,0,0,14.76,0.22
1979,12,582,228,a,a,female,gray,5,4,5,1,4,5,1,18,3,21.6,128,-4.77,0.33,0,0,10.29,0.5
1979,31,602,230,a,a,female,brown,1,12,3,3,11,2,2,13,3,21.6,128,-4.77,0.33,0,0,9.01,0.51
1979,32,566,182,a,a,male,brown,1,9,2,0,10,1,1,12,4,21.6,128,-4.77,0.33,0,0,8.71,0.51
1979,33,568,147,a,a,male,gray,1,,,,7,2,4,12,3,21.6,128,-4.77,0.33,0,0,8.71,0.51
1979,35,603,233,a,a,female,gray,1,5,4,2,5,4,2,18,5,21.6,128,-4.77,0.33,0,0,10.29,0.5
1979,46,606,179,a,a,female,brown,1,12,3,3,11,2,2,8,4,21.6,128,-4.77,0.33,0,0,7.52,0.54
1979,47,582,228,a,a,male,gray,1,5,4,2,5,4,2,18,3,21.6,128,-4.77,0.33,0,0,10.29,0.5
1979,48,580,142,a,a,male,gray,1,5,4,2,5,4,2,20,3,21.6,128,-4.77,0.33,0,0,10.76,0.5
1980,2,567,147,a,a,female,brown,4,13,4,4,13,4,4,12,3,16.1,138,-3.49,0.35,2,3,8.4,0.65
1980,4,570,152,a,a,female,gray,8,7,2,4,7,2,4,0,3,16.1,138,-3.49,0.35,12.3,10,5.49,0.71
1980,7,624,200,a,a,male,gray,3,5,4,2,7,2,4,16,3,16.1,138,-3.49,0.35,2,3,9.48,0.65
1980,9,575,102,a,a,female,gray,8,5,4,2,4,5,1,11,3,16.1,138,-3.49,0.35,2,3,8.1,0.66
1980,16,585,22,a,a,female,brown,1,11,2,2,11,2,2,,3,16.1,138,-3.49,0.35,0,0,,
1980,17,586,63,a,a,female,gray,1,6,3,3,6,3,3,,0,16.1,138,-3.49,0.35,0,0,,
1980,18,587,352,a,a,female,gray,1,6,3,3,6,3,3,,,16.1,138,-3.49,0.35,0,0,,
1980,32,566,182,a,a,male,brown,2,,,,10,1,1,9,2,16.1,138,-3.49,0.35,2,3,7.49,0.68
1980,33,567,147,a,a,male,gray,2,6,3,3,7,2,4,12,3,16.1,138,-3.49,0.35,2,3,8.4,0.65
1980,36,604,352,a,a,female,gray,1,5,4,2,5,4,2,10,2,16.1,138,-3.49,0.35,2,3,7.77,0.67
1980,46,606,206,a,a,female,brown,2,10,1,1,11,2,2,3,0,16.1,138,-3.49,0.35,8.14,7,5.93,0.65
1980,49,609,302,a,a,female,gray,2,6,3,3,6,3,3,1,4,16.1,138,-3.49,0.35,10.89,9,5.6,0.68
1980,57,652,248,a,a,male,brown,1,,,,12,3,3,10,3,16.1,138,-3.49,0.35,2,3,7.77,0.67
1980,63,621,352,a,a,female,gray,1,5,4,2,5,4,2,9,2,16.1,138,-3.49,0.35,2,3,7.49,0.68
1980,64,623,62,a,a,female,brown,1,12,3,3,11,2,2,9,4,16.1,138,-3.49,0.35,2,3,7.49,0.68
1980,65,623,62,a,a,male,gray,1,4,5,1,4,5,1,9,4,16.1,138,-3.49,0.35,2,3,7.49,0.68
1980,66,570,152,a,a,male,brown,1,14,5,5,14,5,5,0,3,16.1,138,-3.49,0.35,12.3,10,5.49,0.71
1980,67,581,115,a,a,male,gray,1,6,3,3,6,3,3,4,4,16.1,138,-3.49,0.35,6.5,6,6.15,0.65
1980,68,575,102,a,a,male,gray,1,5,4,2,6,3,3,11,3,16.1,138,-3.49,0.35,2,3,8.1,0.66
1980,69,624,200,a,a,female,gray,1,6,3,3,6,3,3,16,3,16.1,138,-3.49,0.35,2,3,9.48,0.65
1980,103,652,248,a,a,female,gray,1,,,,6,3,3,10,3,16.1,138,-3.49,0.35,2,3,7.77,0.67
1980,104,657,177,a,a,female,gray,1,5,4,2,6,3,3,14,0,16.1,138,-3.49,0.35,2,3,8.97,0.66
1980,105,660,225,a,a,female,gray,1,7,2,4,7,2,4,20,3,16.1,138,-3.49,0.35,2,2,10.27,0.59
1981,5,571,14,a,a,female,gray,4,6,3,3,6,3,3,6,3,18.06,144,-3.26,0.33,3,8,6.96,0.55
1981,29,599,352,a,a,female,gray,3,7,2,4,6,3,3,,2,18.06,144,-3.26,0.33,0,0,,
1981,52,617,291,a,a,male,gray,3,7,2,4,7,2,4,10,2,18.06,144,-3.26,0.33,1.2,5,7.55,0.53
1981,58,617,291,a,a,female,gray,1,5,4,2,5,4,2,10,2,18.06,144,-3.26,0.33,1.2,5,7.55,0.53
1981,66,661,126,a,a,male,brown,2,14,5,5,14,5,5,10,2,18.06,144,-3.26,0.33,1.2,5,7.55,0.53
1981,71,625,117,a,a,female,brown,1,11,2,2,11,2,2,,2,18.06,144,-3.26,0.33,0,0,,
1981,72,625,117,a,a,male,gray,1,5,4,2,5,4,2,,2,18.06,144,-3.26,0.33,0,0,,
1981,73,571,14,a,a,male,gray,1,7,2,4,8,1,5,6,3,18.06,144,-3.26,0.33,3,8,6.96,0.55
1981,106,661,126,a,a,female,gray,1,6,3,3,6,3,3,10,2,18.06,144,-3.26,0.33,1.2,5,7.55,0.53
1982,5,571,14,a,a,female,gray,5,6,3,3,6,3,3,-7,4,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,7,579,197,a,a,male,gray,5,7,2,4,7,2,4,,0,24.34,146,-3.28,0.33,0,0,,
1982,7,658,219,a,a,male,gray,5,7,2,4,7,2,4,0,4,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1982,8,573,70,a,a,female,brown,10,11,2,2,10,1,1,10,3,24.34,146,-3.28,0.33,13.3,10,7.78,0.68
1982,9,574,182,a,a,female,gray,10,5,4,2,4,5,1,-1,5,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,10,662,265,a,a,male,brown,9,10,1,1,10,1,1,-12,3,24.34,146,-3.28,0.33,19.44,25,3.78,0.58
1982,21,590,327,a,a,female,gray,6,8,1,5,8,1,5,5,4,24.34,146,-3.28,0.33,13.3,10,6.24,0.67
1982,22,591,65,a,a,female,brown,4,14,5,5,13,4,4,-2,4,24.34,146,-3.28,0.33,12.67,15,4.88,0.67
1982,24,635,23,a,a,male,gray,2,5,4,2,5,4,2,5,4,24.34,146,-3.28,0.33,13.3,10,6.24,0.67
1982,29,598,352,a,a,female,gray,4,6,3,3,6,3,3,0,4,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1982,32,574,182,a,a,male,brown,4,11,2,2,10,1,1,-1,5,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,33,622,40,a,a,male,gray,4,7,2,4,7,2,4,-7,5,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,34,591,65,a,a,male,gray,4,8,1,5,7,2,4,-2,4,24.34,146,-3.28,0.33,12.67,15,4.88,0.67
1982,37,626,9,a,a,male,gray,1,8,1,5,8,1,5,-7,4,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,38,605,352,a,a,female,brown,1,11,2,2,11,2,2,-1,3,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,39,605,352,a,a,male,gray,1,6,3,3,6,3,3,-1,3,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,40,616,278,a,a,male,gray,1,8,1,5,6,3,3,1,5,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,41,664,173,a,a,male,gray,1,7,2,4,7,2,4,0,3,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1982,44,618,141,a,a,male,brown,4,10,1,1,10,1,1,1,5,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,47,607,225,a,a,male,gray,4,6,3,3,5,4,2,-1,6,24.34,146,-3.28,0.33,12.86,14,5.06,0.65
1982,54,628,31,a,a,male,brown,2,11,2,2,11,2,2,-4,4,24.34,146,-3.28,0.33,12.82,17,4.63,0.67
1982,57,652,276,a,a,male,brown,3,12,3,3,12,3,3,2,4,24.34,146,-3.28,0.33,13,11,5.65,0.66
1982,58,616,278,a,a,female,gray,2,5,4,2,5,4,2,1,5,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,59,618,141,a,a,female,brown,1,11,2,2,11,2,2,1,5,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,64,622,40,a,a,female,brown,3,,,,11,2,2,-7,5,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,66,661,112,a,a,male,brown,3,14,5,5,14,5,5,-4,4,24.34,146,-3.28,0.33,12.82,17,4.63,0.67
1982,68,573,70,a,a,male,gray,3,7,2,4,6,3,3,10,3,24.34,146,-3.28,0.33,13.3,10,7.78,0.68
1982,70,627,10,a,a,male,gray,3,8,1,5,8,1,5,-3,4,24.34,146,-3.28,0.33,12.56,16,4.7,0.67
1982,73,571,14,a,a,male,gray,2,9,2,6,8,1,5,-7,4,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,74,626,9,a,a,female,gray,1,7,2,4,7,2,4,-7,4,24.34,146,-3.28,0.33,15.4,20,4.46,0.69
1982,75,627,10,a,a,female,gray,1,7,2,4,7,2,4,-3,4,24.34,146,-3.28,0.33,12.56,16,4.7,0.67
1982,76,628,31,a,a,female,brown,1,13,4,4,13,4,4,-4,4,24.34,146,-3.28,0.33,12.82,17,4.63,0.67
1982,77,631,162,a,a,female,gray,1,6,3,3,6,3,3,1,3,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,78,632,263,a,a,female,gray,1,7,2,4,7,2,4,7,4,24.34,146,-3.28,0.33,13.3,10,6.85,0.67
1982,79,590,327,a,a,male,gray,1,4,5,1,4,5,1,5,4,24.34,146,-3.28,0.33,13.3,10,6.24,0.67
1982,80,632,263,a,a,male,gray,1,6,3,3,6,3,3,7,4,24.34,146,-3.28,0.33,13.3,10,6.85,0.67
1982,81,598,352,a,a,male,brown,1,13,4,4,13,4,4,0,4,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1982,82,633,55,a,a,male,gray,1,5,4,2,6,3,3,8,1,24.34,146,-3.28,0.33,13.3,10,7.17,0.68
1982,103,652,276,a,a,female,gray,3,6,3,3,6,3,3,2,4,24.34,146,-3.28,0.33,13,11,5.65,0.66
1982,104,653,187,a,a,female,gray,3,4,5,1,6,3,3,1,3,24.34,146,-3.28,0.33,12.92,12,5.48,0.65
1982,105,658,219,a,a,female,gray,3,8,1,5,7,2,4,0,4,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1982,106,661,112,a,a,female,gray,2,7,2,4,6,3,3,-4,4,24.34,146,-3.28,0.33,12.82,17,4.63,0.67
1982,107,662,265,a,a,female,gray,1,7,2,4,8,1,5,-12,3,24.34,146,-3.28,0.33,19.44,25,3.78,0.58
1982,108,664,173,a,a,female,brown,1,11,2,2,11,2,2,0,3,24.34,146,-3.28,0.33,13.08,13,5.27,0.64
1983,1,601,188,a,a,male,brown,13,12,3,3,11,2,2,-12,5,7.86,110,-0.52,0.38,9.6,15,4.93,0.64
