ring_m,ring_f,ring,couple_id,observer,year,brood_size,laying_date,laying_date_ymd,morph,sex,age,color_score_median,color_score_median_trans,color_score_median_trans_ord,morph_f,morph_m,parent_combination,color_score_median_f,color_score_median_trans_f,color_score_median_trans_ord_f,color_score_median_m,color_score_median_trans_m,color_score_median_trans_ord_m,colour_score_median_midparent,colour_score_median_midparent_trans,breed_snow_depth_mean,breed_snow_days_n,breed_temp_air_mean,breed_temp_air_CV
,,59,NA_NA,a,1982,,0,1982-03-31,gray,male,2,5,4,2,"","",NA_NA,,,,,,,,,13.08,13,5.27,0.64
,,260,NA_NA,b,1988,,-6,1988-03-25,gray,male,2,7,2,4,"","",NA_NA,,,,,,,,,15.39,18,4.56,0.65
,,261,NA_NA,b,1988,,-6,1988-03-25,gray,male,2,6,3,3,"","",NA_NA,,,,,,,,,15.39,18,4.56,0.65
,,262,NA_NA,a,1988,,-6,1988-03-25,gray,female,2,6,3,3,"","",NA_NA,,,,,,,,,15.39,18,4.56,0.65
,,316,NA_NA,a,1989,,-26,1989-03-05,gray,female,2,8,1,5,"","",NA_NA,,,,,,,,,2.6,5,3.6,0.69
,,324,NA_NA,a,1991,,4,1991-04-04,gray,male,7,7,2,4,"","",NA_NA,,,,,,,,,1.67,3,5.92,0.47
,,504,NA_NA,a,1997,,-11,1997-03-20,brown,male,3,13,4,4,"","",NA_NA,,,,,,,,,4.58,12,2.64,0.53
,,522,NA_NA,b,2008,,-11,2008-03-20,brown,female,4,10,1,1,"","",NA_NA,,,,,,,,,4.14,7,5.96,0.5
,,523,NA_NA,a,2008,,-11,2008-03-20,gray,male,,7,2,4,"","",NA_NA,,,,,,,,,4.14,7,5.96,0.5
,,820,NA_NA,c,2015,,-37,2015-02-22,gray,male,4,5,4,2,"","",NA_NA,,,,,,,,,3.4,15,2.57,0.36
,9,53,581,a,1979,3,42,1979-05-12,gray,female,2,6,3,3,gray,"",gray_NA,4,5,1,,,,,,0,0,14.76,0.22
,9,54,581,a,1979,3,42,1979-05-12,gray,male,6,7,2,4,gray,"",gray_NA,4,5,1,,,,,,0,0,14.76,0.22
,93162,93172,93162_NA,"",1986,6,-27,1986-03-04,"","",,,,,"","",NA_NA,,,,,,,,,43.83,29,-0.64,0.38
,352,464,118,a,1998,4,-3,1998-03-28,gray,female,2,8,1,5,brown,"",brown_NA,12,3,3,,,,,,3.5,4,6.05,0.49
,529,535,263,b,2000,2,-2,2000-03-29,gray,female,3,4,5,1,gray,"",gray_NA,6,3,3,,,,,,2,1,7.92,0.51
,615,710,327,a,2005,3,-1,2005-03-30,gray,female,2,5,4,2,gray,"",gray_NA,4,5,1,,,,,,4,5,6.67,0.53
